Open,High,Low,Close,Volume
1996.086,2009.851,1980.438,2004.951,88284495
2001.172,2008.788,1986.348,1990.657,85967706
2008.134,2012.742,1987.129,2011.683,84766272
2011.77,2060.925,2005.022,2060.808,134407694
2068.086,2108.257,2067.786,2107.749,151785867
2106.835,2149.476,2082.596,2098.018,165352197
2102.078,2185.086,2102.078,2181.239,160860189
2211.317,2238.894,2196.708,2224.714,192312686
2218.489,2266.398,2197.007,2265.161,172587361
2230.49,2305.705,2218.297,2260.82,209328074
2265.789,2274.201,2191.887,2248.091,173976848
2249.185,2323.12,2236.178,2320.792,199715512
2338.758,2389.878,2328.179,2389.387,211427610
2387.354,2402.807,2316.934,2319.441,198117836
2271.26,2295.741,2206.062,2209.862,162461879
2224.49,2247.616,2190.473,2227.125,129844050
2234.365,2262.332,2206.211,2261.478,128938105
2249.289,2313.594,2219.714,2305.777,160289118
2273.755,2295.59,2193.268,2200.654,183853106
2222.506,2234.018,2142.601,2206.574,152376898
2201.672,2237.547,2102.346,2121.251,148638852
2100.063,2123.244,2064.918,2082.852,122905210
2066.229,2102.112,2052.992,2093.447,87462587
2047.213,2088.628,2037.024,2071.431,97781728
2076.616,2201.727,2076.616,2198.107,154811275
2220.15,2241.761,2173.491,2221.076,182441105
2180.788,2221.04,2171.668,2193.007,123863233
2205.746,2232.674,2116.453,2118.748,124300647
2097.139,2159.268,2088.162,2158.568,83940262
2199.983,2203.534,2133.141,2139.025,103723453
2127.726,2136.795,2086.018,2133.881,87213151
2148.418,2166.022,2124.979,2128.848,83504887
2122.408,2158.9,2108.612,2153.291,73382635
2156.774,2225.192,2151.776,2218.326,130805423
2227.981,2255.009,2221.588,2223.725,146994599
2227.344,2268.144,2220.164,2265.759,145822319
2272.437,2294.117,2250.405,2281.087,150523664
2286.246,2329.183,2276.81,2325.48,160060235
2359.679,2369.454,2327.43,2338.42,162727081
2333.163,2355.69,2291.359,2291.555,144842469
2296.047,2362.048,2274.895,2361.704,158556822
2380.626,2392.769,2361.091,2374.438,186528389
2377.964,2380.194,2348.527,2358.04,139880606
2313.883,2375.712,2299.158,2373.213,142695498
2380.979,2422.625,2380.979,2408.017,179857619
2417.217,2450.003,2417.111,2425.291,188385983
2446.124,2456.811,2406.496,2419.778,170251684
2422.1,2449.537,2407.506,2439.182,124209223
2429.879,2435.388,2346.537,2347.385,146809157
2345.009,2380.935,2331.877,2379.876,113234976
2400.014,2444.981,2392.8,2444.226,157491196
2468.083,2522.445,2464.061,2513.701,191344932
2512.009,2532.089,2495.337,2527.181,165180093
2514.591,2542.54,2485.926,2536.056,181085688
2542.336,2549.312,2497.122,2534.134,186163119
2524.626,2539.352,2481.899,2503.935,161593595
2500.173,2559.036,2497.321,2557.456,147904251
2523.262,2552.598,2499.601,2535.828,164621542
2548.105,2579.218,2449.895,2461.346,193984096
2440.676,2474.146,2422.789,2463.954,126119756
2477.156,2481.527,2445.664,2448.595,113796845
2443.436,2452.928,2393.162,2405.348,113008183
2382.884,2411.438,2372.343,2401.438,94815296
2401.658,2477.725,2395.483,2468.192,126530722
2477.928,2491.072,2461.365,2477.569,131154168
2486.685,2560.544,2486.225,2559.911,153369990
2577.429,2590.776,2552.39,2567.337,158422283
2563.564,2596.925,2552.632,2592.52,160708583
2612.123,2622.112,2566.121,2597.447,181811460
2586.759,2634.061,2574.572,2625.645,161920976
2646.287,2663.95,2579.747,2579.747,178248359
2562.363,2619.692,2558.963,2618.172,123005960
2629.031,2670.213,2608.317,2663.766,145836006
2631.445,2651.488,2610.223,2639.887,124762442
2646.891,2661.366,2623.364,2645.263,110890182
2632.569,2656.844,2589.613,2652.779,119048894
2679.396,2688.112,2660.56,2676.682,147466097
2680.547,2686.345,2651.011,2651.414,138245861
2639.141,2663.227,2598.869,2610.622,138926981
2595.988,2617.749,2578.593,2597.601,99147298
2555.342,2618.359,2538.622,2610.01,112000785
2615.006,2618.8,2585.91,2588.575,114514670
2601.24,2635.313,2592.794,2632.93,103167720
2668.4,2726.716,2668.4,2721.28,147959551
2739.442,2750.88,2713.466,2724.302,156356058
2722.266,2778.683,2717.863,2778.589,155681658
2753.248,2778.242,2728.199,2767.244,170878921
2783.859,2791.649,2750.377,2753.891,146648113
2753.345,2795.149,2729.028,2768.336,133231447
